PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9913TG,TERMINAL COVER,1,1,,,,,,1,,,,,,"PR,X2"
F9913VF,COVER,1,,,,,,,1,,,,PR,,X2
F9913VG,TERMINAL COVER,1,1,,,,,,1,,,,X2,,PR
F9913SA,COVER,1,,,,,,,2,,,,,,PR
F9913SB,COVER,1,,,,,,,2,,,,PR,,X2
F9913CG,TERMINAL COVER,1,1,"EJA510E,EJA530E",,,,,3,,,,,,"PR,X2"
F9913DG,TERMINAL COVER,1,1,"EJA510E,EJA530E",,,,,3,,,,X2,,PR
F9913DF,TERMINAL COVER,1,,"EJA510E,EJA530E",,,,,3,,,,PR,,X2
F9913TA,TERMINAL COVER,1,2,,,,,,1,,,,,,"PR,X2"
F9913VA,COVER,1,2,,,,,,1,,,,X2,,PR
F9913CA,TERMINAL COVER,1,2,"EJA510E,EJA530E",,,,,3,,,,,,"PR,X2"
F9913DA,TERMINAL COVER,1,2,"EJA510E,EJA530E",,,,,3,,,,X2,,PR
F9910LE,O-RING,1,,,,,,,,,,,,,HE
F9900GR,O-RING,1,,,,,,,,,,,HE,,
F9341JP,O-RING,1,,,,,,,,,,,,,HE
F9900GS,O-RING,1,,,,,,,,,,,HE,,
F9341JS,COVER,1,,,,,,,,,,,,,
F9900GZ,SCREW,2,,,,,,,,,,,,,
F9900RS,NAME PLATE,1,,"EJA510E,EJA530E",,,,,,,,,,,
F9900RE,TAG PLATE,1,,,,,,,"1,2,3",,,,,,
F9900RG,TAPPING SCREW,4,,,,,,,"1,3",,,,,,
F9900RR,TAPPING SCREW,4,,,,,,,2,,,,,,
F9900GC,SCREW,2,,,,,,,"1,3",,,,,,HC
F9900RH,SCREW,2,,,,,,,"1,3",,,,HC,,
F9900RH,SCREW,2,,,,,,,2,,,,,,
F9900GH,O-RING,1,,,,,,,,,,,,,HE
F9900GT,O-RING,1,,,,,,,,,,,HE,,
F9300AF,PLATE,1,,,,,,,,,,,,,
F9299ZZ,SILICONE RUBBER,0,,,,,,,,,,,,,
F9202SJ,SILICONGRE G-40M 1KG,0,,,,,,,,,,,,,
C2138DE,TAPES,0,,,,,,,,,,,,,
F9900GE,PLATE,1,,,,"A,B,C",,,,,,,,,
F9940WG,HOOK,1,,,,D,,,,,,,,,
F9900RJ,BOLT,1,,,,,,,,,,,,,
F9920BE,AMP ASSY,1,,,D,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9920BG,AMP ASSY,1,,,D,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9920BN,AMP ASSY,1,,,J,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9920BQ,AMP ASSY,1,,,J,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9921AH,AMP ASSY,1,,,F,,,,,,,,,,
F9921AE,AMP ASSY,1,,,G,,,,,,,,,,
F9920BX,AMP ASSY,1,,,Q,,,,,,,,,,
F9920TK,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,"JS4,NS21,PS21,US1","A,CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,KS21,KU22,SU21"
F9920TS,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GU11,KS21,KU22,SU21","A,GS21,GU21,J12,JS4,NS21,PS21,US1"
F9920TT,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,"GS21,GU21","A,CS1,CU1,FS1,FU1,GS11,GU11,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9920TX,TERMINAL ASSY,1,,,Q,,,,,,,,,,A
F9920TL,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,J12,,"A,CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,NS21,PS21,SU21,US1"
F9920TP,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,,"A,CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9921TF,TERMINAL ASSY,1,,,"-F,-G",,,,,,,,,,"A,CS15,FS15,GS16,KS26,NS25,SS26"
F9921TG,TERMINAL ASSY,1,,,"-F,-G",,,,,,,,,"CS15,FS15,KS26,SS26",A
F9920VK,LPT ASSY,1,,,"-D,-J",,,,,,,,A,"JS4,NS21,PS21,US1","CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,KS21,KU22,SU21"
F9920VS,LPT ASSY,1,,,"-D,-J",,,,,,,,A,"CS1,CU1,FS1,FU1,GS11,GU11,KS21,KU22,SU21","GS21,GU21,J12,JS4,NS21,PS21,US1"
F9920VT,LPT ASSY,1,,,"-D,-J",,,,,,,,A,"GS21,GU21","CS1,CU1,FS1,FU1,GS11,GU11,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9920VY,LPT ASSY,1,,,Q,,,,,,,,A,,
F9920VP,LPT ASSY,1,,,"-D,-J",,,,,,,,A,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9921VF,LPT ASSY,1,,,"-F,-G",,,,,,,,A,,"CS15,FS15,KS26,SS26"
F9921VG,LPT ASSY,1,,,"-F,-G",,,,,,,,A,"CS15,FS15,KS26,SS26",
F9920VL,LPT ASSY,1,,,"-D,-J",,,,,,,,"A,J12",,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,NS21,PS21,SU21,US1"
F9342NJ,CONNECTOR ASSY,1,,,"-D,-F,-G,-J",,,,,,,,,,
F9920LU,LCD ASSY,1,,,,,,,,,D,,,,
F9920LV,LCD ASSY,1,,,,,,,,,E,,,,
F9342MK,NUT,2,,,,,,,,,"D,E",,,,
F9913QN,CASE,1,1,,,,,,1,0,,,,,X2
F9913QQ,CASE,1,1,,,,,,1,"5,A",,,,,X2
F9913QU,CASE,1,1,,,,,,1,"2,7,C",,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1,X2"
F9913QW,CASE,1,1,,,,,,1,"4,9,D",,,,,X2
F9913QV,CASE,1,1,,,,,,1,"2,7,C",,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,UF1,US1",X2
F9913QV,CASE,1,1,,,,,,1,"2,7,C",,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,NF2,NF21,NS21,NS25,SS26,SU21",X2
F9913RA,CASE,1,1,,,,,,1,0,,,X2,,
F9913RC,CASE,1,1,,,,,,1,"5,A",,,X2,,
F9913RG,CASE,1,1,,,,,,1,"2,7,C",,,X2,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1"
F9913RJ,CASE,1,1,,,,,,1,"4,9,D",,,X2,,
F9913RH,CASE,1,1,,,,,,1,"2,7,C",,,X2,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,UF1,US1",
F9913RH,CASE,1,1,,,,,,1,"2,7,C",,,X2,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,NF2,NF21,NS21,NS25,SS26,SU21",
F9913WC,CASE,1,,"EJA510E,EJA530E",,,,,2,A,,,,,
F9913WG,CASE,1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1"
F9913WJ,CASE,1,,"EJA510E,EJA530E",,,,,2,"4,D",,,,,
F9913WH,CASE,1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,UF1,US1",
F9913WH,CASE,1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,NF2,NF21,NS21,NS25,SS26,SU21",
F9913AW,CASE,1,1,"EJA510E,EJA530E",,,,,3,"4,9,D",,,,,X2
F9913AY,CASE,1,1,"EJA510E,EJA530E",,,,,3,"2,7,C",,,,,X2
F9913BW,CASE,1,1,"EJA510E,EJA530E",,,,,3,"4,9,D",,,X2,,
F9913BY,CASE,1,1,"EJA510E,EJA530E",,,,,3,"2,7,C",,,X2,,
F9913QA,CASE,1,2,,,,,,1,0,,,,,X2
F9913QC,CASE,1,2,,,,,,1,"5,A",,,,,X2
F9913QG,CASE,1,2,,,,,,1,"2,7,C",,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1,X2"
F9913QJ,CASE,1,2,,,,,,1,"4,9,D",,,,,X2
F9913QH,CASE,1,2,,,,,,1,"2,7,C",,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,UF1,US1",X2
F9913QH,CASE,1,2,,,,,,1,"2,7,C",,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,NF2,NF21,NS21,NS25,SS26,SU21",X2
F9913RN,CASE,1,2,,,,,,1,0,,,X2,,
F9913RQ,CASE,1,2,,,,,,1,"5,A",,,X2,,
F9913RU,CASE,1,2,,,,,,1,"2,7,C",,,X2,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1"
F9913RW,CASE,1,2,,,,,,1,"4,9,D",,,X2,,
F9913RV,CASE,1,2,,,,,,1,"2,7,C",,,X2,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,UF1,US1",
F9913RV,CASE,1,2,,,,,,1,"2,7,C",,,X2,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,NF2,NF21,NS21,NS25,SS26,SU21",
F9913AJ,CASE,1,2,"EJA510E,EJA530E",,,,,3,"4,9,D",,,,,X2
F9913AL,CASE,1,2,"EJA510E,EJA530E",,,,,3,"2,7,C",,,,,X2
F9913BJ,CASE,1,2,"EJA510E,EJA530E",,,,,3,"4,9,D",,,X2,,
F9913BL,CASE,1,2,"EJA510E,EJA530E",,,,,3,"2,7,C",,,X2,,
F9910LS,TERMINAL ASSY,1,,,,,,,"1,3",,,,,,
F9910LS,TERMINAL ASSY,1,,,,,,,2,,,,,,
Y9308JY,SCREW,2,,,,,,,,,,,,,
R1200BA,LOCTITE 222  49591,0,,,,,,,,,,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,HE,SF2,SS26,SU21"
F9341JX,SILICONE RUBBER,0,,,,,,,,,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9341JX,SILICONE RUBBER,0,,,,,,,,,,,,"SF2,SS26,SU21",HE
A1462CC,FEEDTHRU CAP,2,,,"-D,-J,-Q",,,,,,,,,,HE
F9342YC,FEED THROUGH CAP,2,,,"-D,-J,-Q",,,,,,,,HE,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9342YB,FEEDTHROUGH CAP,2,,,"-F,-G",,,,,,,,,,HE
F9342YC,FEED THROUGH CAP,2,,,"-F,-G",,,,,,,,HE,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9913ME,FEED THROUGH CAP,2,,"EJA510E,EJA530E",,,,,,,,,HE,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1"
Y9501WL,WASHER,3,,,,,,,,,,,,,
F9341JW,WASHER,1,,,,,,,,,,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1",
G9303NC,O-RING,1,,,,,,,,,,,,,HE
F9900GV,O-RING,1,,,,,,,,,,,HE,,
F9270BJ,SHAFT,1,,,,,,,"1,3",,,,,,HC
F9900RL,SHAFT,1,,,,,,,"1,3",,,,HC,,
F9900RL,SHAFT,1,,,,,,,2,,,,,,
Y9812PS,PIN,1,,,,,,,,,,,,,
F9270BK,COLLAR,1,,,,,,,,,,,,,
F9900GZ,SCREW,1,,,,,,,"1,2",,,,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1"
F9341JZ,CLAMP ASSY,1,,,,,,,"1,2",,,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1",
F9913MC,SCREW,1,,,,,,,3,,,,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1"
F9913MD,CLAMP ASSY,1,,,,,,,3,,,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KN26,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1",
A1462CC,FEEDTHRU CAP,1,,,"-D,-J,-Q",,,,,,,,,,HE
F9342YC,FEED THROUGH CAP,1,,,"-D,-J,-Q",,,,,,,,HE,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9342YB,FEEDTHROUGH CAP,1,,,"-F,-G",,,,,,,,,,HE
F9342YC,FEED THROUGH CAP,1,,,"-F,-G",,,,,,,,HE,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1",
F9913ME,FEED THROUGH CAP,1,,"EJA510E,EJA530E",,,,,,,,,HE,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1"
F9900GZ,SCREW,1,,,,,,,"1,2",,,,,,
F9913MA,SCREW,1,,,,,,,3,,,,,,
F9913TQ,BLIND COVER,1,1,,,,,,1,,N,,,,"P1,P2,P7,PR,X2"
F9913VK,COVER,1,,,,,,,1,,N,,P1,,X2
F9913VL,COVER,1,,,,,,,1,,N,,P2,,X2
F9913VM,COVER,1,,,,,,,1,,N,,P7,,X2
F9913VP,COVER,1,,,,,,,1,,N,,PR,,X2
F9913VQ,BLIND COVER,1,1,,,,,,1,,N,,X2,,"P1,P2,P7,PR"
F9913JG,METER COVER ASSY,1,1,,,,,,1,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9913JT,METER COVER,1,,,,,,,1,,"D,E",,P1,,"HE,X2"
F9913JU,METER COVER,1,,,,,,,1,,"D,E",,P2,,"HE,X2"
F9913JV,METER COVER,1,,,,,,,1,,"D,E",,P7,,"HE,X2"
F9913JX,METER COVER,1,,,,,,,1,,"D,E",,PR,,"HE,X2"
F9913JR,METER COVER ASSY,1,1,,,,,,1,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9913KG,METER COVER ASSY,1,1,"EJA510E,EJA530E",,,,,1,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9913KT,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,P1",,X2
F9913KU,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,P2",,X2
F9913KV,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,P7",,X2
F9913KX,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,PR",,X2
F9913KR,METER COVER ASSY,1,1,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,X2",,"P1,P2,P7,PR"
F9913SC,COVER,1,,,,,,,2,,N,,,,PR
F9913SE,METER COVER,1,,,,,,,2,,"D,E",,,,"HE,PR"
F9913SD,COVER,1,,,,,,,2,,N,,PR,,X2
F9913JY,METER COVER,1,,,,,,,2,,"D,E",,PR,,"HE,X2"
F9913KZ,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,2,,"D,E",,HE,,PR
F9913KY,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,2,,"D,E",,"HE,PR",,X2
F9913GG,METER COVER ASSY,1,1,"EJA510E,EJA530E",,,,,3,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9913HG,METER COVER ASSY,1,1,"EJA510E,EJA530E",,,,,3,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9913GX,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,3,,"D,E",,PR,,"HE,P1,P2,P7,X2"
F9913HX,METER COVER ASSY,1,,"EJA510E,EJA530E",,,,,3,,"D,E",,"HE,PR",,"P1,P2,P7,X2"
F9913CQ,BLIND COVER,1,1,"EJA510E,EJA530E",,,,,3,,N,,,,"P1,P2,P7,PR,X2"
F9913DP,BLIND COVER,1,,"EJA510E,EJA530E",,,,,3,,N,,PR,,"P1,P2,P7,X2"
F9913GR,METER COVER ASSY,1,1,"EJA510E,EJA530E",,,,,3,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9913HR,METER COVER ASSY,1,1,"EJA510E,EJA530E",,,,,3,,"D,E",,"HE,X2",,"P1,P2,P7,PR"
F9913DQ,BLIND COVER,1,1,"EJA510E,EJA530E",,,,,3,,N,,X2,,"P1,P2,P7,PR"
F9913TS,METER COVER ASSY,1,2,,,,,,1,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9913KA,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,1,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9913VS,METER COVER,1,2,,,,,,1,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9913KS,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,1,,"D,E",,"HE,X2",,"P1,P2,P7,PR"
F9913CS,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9913HA,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9913GS,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9913HS,METER COVER ASSY,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,"HE,X2",,"P1,P2,P7,PR"
F9913TJ,BLIND COVER,1,2,,,,,,1,,N,,,,"P1,P2,P7,PR,X2"
F9913VJ,COVER,1,2,,,,,,1,,N,,X2,,"P1,P2,P7,PR"
F9913CJ,BLIND COVER,1,2,"EJA510E,EJA530E",,,,,3,,N,,,,"P1,P2,P7,PR,X2"
F9913DJ,BLIND COVER,1,2,"EJA510E,EJA530E",,,,,3,,N,,X2,,"P1,P2,P7,PR"
F9900GQ,PLUG,1,,,,,,,1,5,,,,,HE
F9900GL,PLUG,1,,,,,,,"1,2",A,,,,,
F9913MY,PLUG,1,,,,,,,"1,3",7,,,,,
F9913MZ,PLUG,1,,,,,,,"1,2,3",C,,,,,
F9900GP,PLUG,1,,,,,,,"1,3",9,,,,,HE
F9900GK,PLUG,1,,,,,,,"1,2,3",D,,,,,
F9900GY,PLUG,1,,"EJA510E,EJA530E",,,,,1,5,,,HE,,
F9900GX,PLUG,1,,"EJA510E,EJA530E",,,,,"1,3",9,,,HE,,
G9330DB,PLUG RED,1,,,,,,,,"2,4",,,,,
G9330DB,PLUG RED,1,,,,,,,,"0,2,4,5,7,9,A,C,D",,,,,
F9900GB,O-RING,1,,,,,,,,"A,D",,,,,HE
F9900GW,O-RING,1,,,,,,,,"A,D",,,HE,,
F9275EJ,BALL,1,,,,,,P,,,,,,,
F9344XA,SCREW,1,,,,,,P,,,,,,,
F9299ZZ,SILICONE RUBBER,0,,,,,,P,,,,,,,
F9300AF,PLATE,1,,,,,,P,,,,,,,
F9940WF,PIPE ASSY,1,,EJA530?,,"A,B,C",,,,,,,,,
F9900SF,BRACKET ASSY,1,,,,,,,,,,L,,,
F9900SN,U-BOLT,1,,,,,,,,,,L,,,
F9900SK,U-BOLT,1,,,,,,,,,,L,,,
G9330DB,PLUG RED,1,,,,,,"2,4",,,,,,,
G9330CB,PLUG,1,,,,,,"6,7,8,A",,,,,,,
X9947QF,796A981 CAP,1,,,,,,9,,,,,,,
F9299ZZ,SILICONE RUBBER,0,,,,,H,,,,,,,,
F9940WJ,SCREW,1,,,,D,,,,,,,,,
F9275ZZ,LABEL,1,,,,,,,,,,,,"K1,K2",
F9900MK,LABEL,1,,,,,,,,,,,,"K5,K6",
F9340ND,LABEL,1,,,,,,,,,,,,"K1,K2,K5,K6",
C1016EZ,SOLID SUB-MATERIALS,1,,,,,,,,,,,,"K5,K6",
F9900RM,TAG PLATE,1,,,,,,,"1,3",,,,,N4,
F9900RM,TAG PLATE,1,,,,,,,2,,,,,N4,
F9900RF,NAME PLATE,1,,,,,,,,,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,KN26,SS26,SU21",
F9900RG,TAPPING SCREW,2,,,,,,,"1,3",,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,JS4,NF2,NF21,NS21,NS25,SF2,SS26,SU21",
F9900RG,TAPPING SCREW,2,,,,,,,"1,3",,,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KN26,KS21,KS26,KU22,PF22,PS21,UF1,US1",
F9900RR,TAPPING SCREW,2,,,,,,,2,,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,NF2,NF21,NS21,NS25,SF2,SS26,SU21",
F9900RR,TAPPING SCREW,2,,,,,,,2,,,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KN26,KS21,KS26,KU22,PF22,PS21,UF1,US1",
F9900RP,BOLT,2,,,,,,,"1,2",,,,,"GF11,GF21,GU11,GU21,JF3,KF22,KU22,NF2,NF21,PF22,SF2,SU21,UF1",
F9913MB,BOLT,2,,,,,,,3,,,,,"GF11,GF21,GU11,GU21,JF3,KF22,KU22,NF2,NF21,PF22,SF2,SU21,UF1",
G9601AM,GLAND,1,,,,,,,,"0,5",,,G11,,
G9601AM,GLAND,2,,,,,,,,"0,5",,,G12,,
G9339AB,CARD,1,,,,,,,,,,,G11,,
G9339AB,CARD,2,,,,,,,,,,,G12,,
F9910LZ,LABEL,1,,,,,,,,"4,9,D",,,,"FF1,FU1",
F9341JD,Spring,1,,"EJA510E,EJA530E",,,,,"1,2,3",,,,,,
F9341JE,Spring,1,,"EJA510E,EJA530E",,,,,"1,2,3",,,,,,
F9341JQ,O-RING,1,,"EJA510E,EJA530E",,,,,"1,2,3",,,,,,
F9341JA,Glass,1,,"EJA510E,EJA530E",,,,,"1,2,3",,,,,,
