,PART NO.,PART NAME,Final_Qty,Year
71853,F9913KA,METER COVER ASSY,8.0,2017
72721,CPA110Y-NMT5G-9NNNN,CPA,31.0,2017
72763,CPA110Y-NMT5G-8NNNN,CPA,1.0,2017
72847,CPA110Y-NMT5G-9NNNN/K2,CPA,1.0,2017
73101,CPA110Y-NMT5J-9NNNN,CPA,37.0,2017
73141,CPA110Y-NMT5J-9NNNN/K3,CPA,4.0,2017
73254,F9913RQ,CASE,2.0,2017
74216,F9913DA,TERMINAL COVER,3.0,2017
74239,F9913BJ,CASE,3.0,2017
74252,F9913GS,METER COVER ASSY,3.0,2017
74256,F9340XU,CONNECTOR(KIDNEY),6.0,2017
74257,F9340GN,O-RING,6.0,2017
74685,CPA430Y-NAH5G-7NNNN/T01,CPA,2.0,2017
74705,F9900TF,FLANGE,353.0,2017
74736,CPA430Y-NASNN-NNNNN,CPA,1191.0,2017
74756,F9900TE,FLANGE,1530.0,2017
74887,CPA430Y-NBSNN-NNNNN,CPA,333.0,2017
75004,F9900TY,FLANGE,2.0,2017
75211,CPA430Y-NAT5G-7NNNN/K3,CPA,10.0,2017
75402,CPA430Y-NHSNN-NNNNN,CPA,240.0,2017
75508,F9921AE,AMP ASSY,5.0,2017
75585,CPA430Y-NAA5G-9NNNN,CPA,3.0,2017
75704,CPA430Y-NAB5G-9NNNN,CPA,7.0,2017
75741,CPA430Y-NAB5J-9NNNN,CPA,1.0,2017
75785,CPA430Y-NAD5G-9NNNN,CPA,8.0,2017
75869,CPA430Y-NAD5J-9NNNN,CPA,6.0,2017
76013,CPA430Y-NASNN-NNNNN/A1,CPA,52.0,2017
76669,CPA430Y-NASNN-NNNNN/K3,CPA,60.0,2017
78719,CPA430Y-NAT5G-9NNNN,CPA,1.0,2017
78759,CPA430Y-NAT5J-9NNNN/K3,CPA,1.0,2017
78800,CPA430Y-NBB5G-9NNNN,CPA,1.0,2017
79944,CPA430Y-NBSNN-NNNNN/A1,CPA,9.0,2017
80313,CPA430Y-NHD5J-9NNNN,CPA,2.0,2017
80975,F9913VF,COVER,6.0,2017
81017,F9913JX,METER COVER,6.0,2017
81248,CPA430Y-NHT5J-9NNNN,CPA,3.0,2017
81324,F9940WF,PIPE ASSY,7101.0,2017
81325,F9900SF,BRACKET ASSY,7059.0,2017
81327,F9900SK,,7059.0,2017
81329,CPA530Y-NAS4N-0NNNN,CPA,383.0,2017
81368,CPA530Y-NBS4N-0NNNN,CPA,2940.0,2017
81489,CPA530Y-NCS4N-0NNNN,CPA,1491.0,2017
81650,G9330CB,PLUG,2365.0,2017
81652,CPA530Y-NAS7N-0NNNN,CPA,110.0,2017
81693,CPA530Y-NBH7N-0NNNN,CPA,15.0,2017
81934,CPA530Y-NBS4N-0NNNN/T06,CPA,32.0,2017
81975,CPA530Y-NBS7N-0NNNN,CPA,1186.0,2017
82096,CPA530Y-NBS7N-0NNNN/T06,CPA,8.0,2017
82136,CPA530Y-NCH4N-0NNNN,CPA,6.0,2017
82372,CPA530Y-NCS7N-0NNNN,CPA,419.0,2017
82413,CPA530Y-NCS7N-0NNNN/A1,CPA,13.0,2017
82452,CPA530Y-NCS8N-0NNNN/T07,CPA,40.0,2017
82464,F9940WG,HOOK,843.0,2017
82491,F9940WJ,SCREW,843.0,2017
82493,CPA530Y-NDS7N-0NNNN,CPA,369.0,2017
82534,CPA530Y-NDS7N-0NNNN/A1,CPA,9.0,2017
82576,CPA530Y-NAH4N-0NNNN,CPA,11.0,2017
82618,CPA530Y-NAH7N-0NNNN,CPA,7.0,2017
82656,CPA530Y-NAH7N-0NNNN/T05,CPA,3.0,2017
83576,CPA530Y-NAS7N-0NNNN/K2,CPA,20.0,2017
83778,CPA530Y-NAS7N-0NNNN/T05,CPA,1.0,2017
83856,CPA530Y-NAS8N-0NNNN,CPA,2.0,2017
83894,CPA530Y-NASWN-0NNNN,CPA,1.0,2017
83933,CPA530Y-NBH4N-0NNNN,CPA,41.0,2017
84684,CPA530Y-NBS4N-0NNNN/K2,CPA,9.0,2017
84764,CPA530Y-NBS4N-0NNNN/K1,CPA,18.0,2017
85180,CPA530Y-NBS4N-0NNNN/K3,CPA,2.0,2017
85222,CPA530Y-NBS4N-0NNNN/A1,CPA,6.0,2017
86990,CPA530Y-NBS7N-0NNNN/K2,CPA,85.0,2017
87029,CPA530Y-NBS7N-0NNNN/A1,CPA,4.0,2017
87192,CPA530Y-NBS7N-0NNNN/K2/A1,CPA,1.0,2017
87403,CPA530Y-NBS7N-0NNNN/K1,CPA,1.0,2017
88349,CPA530Y-NBS8N-0NNNN,CPA,9.0,2017
88501,CPA530Y-NBSWN-0NNNN,CPA,12.0,2017
88731,CPA530Y-NCH7N-0NNNN,CPA,1.0,2017
88769,CPA530Y-NCH7N-0NNNN/T07,CPA,6.0,2017
88850,CPA530Y-NCS4N-0NNNN/A1,CPA,25.0,2017
89499,CPA530Y-NCS4N-0NNNN/K3,CPA,13.0,2017
89585,CPA530Y-NCS4N-0NNNN/K2,CPA,6.0,2017
90360,CPA530Y-NCS7N-0NNNN/K2,CPA,43.0,2017
91499,CPA530Y-NCS8N-0NNNN,CPA,1.0,2017
91582,CPA530Y-NDH4N-0NNNN,CPA,6.0,2017
91622,CPA530Y-NDH7N-0NNNN,CPA,9.0,2017
91661,CPA530Y-NDS4N-0NNNN,CPA,410.0,2017
91742,CPA530Y-NDS4N-0NNNN/A1,CPA,3.0,2017
92985,CPA530Y-NZH4N-0NNNN,CPA,23.0,2017
93022,CPA530Y-NZS4N-0NNNN,CPA,512.0,2017
93324,CPA530Y-NZS4N-0NNNN/T06,CPA,4.0,2017
93398,CPA530Y-NZS4N-0NNNN/K3,CPA,26.0,2017
93576,CPA530Y-NZSWN-0NNNN,CPA,9.0,2017
93844,CPA110Y-NHZ0G-9NNNN/T12,CPA,8.0,2017
93883,CPA110Y-NHZ5J-9NNNN,CPA,8.0,2017
94527,CPA110Y-NMZ0G-9NNNN/T12,CPA,16.0,2017
94566,CPA110Y-NMZ5J-9NNNN,CPA,52.0,2017
94738,CPA110Y-NFS5J-8NNNN,CPA,13.0,2017
95800,F9913SC,COVER,20.0,2017
96064,CPA110Y-NLZ5Z-9NNNN,CPA,1.0,2017
97924,F9913KZ,METER COVER ASSY,6.0,2017
99083,CPA110Y-NVZ5J-9NNNN,CPA,1.0,2017
99304,CPA430Y-NAZ0G-9NNNN/T01,CPA,36.0,2017
99343,CPA430Y-NAZ5J-9NNNN,CPA,4.0,2017
99426,CPA430Y-NBZ0G-9NNNN/T12,CPA,12.0,2017
101261,CPA430Y-NBZ5G-9NNNN,CPA,4.0,2017
102169,CPA530Y-NCS4N-0NNNN/T07,CPA,116.0,2017
102251,CPA530Y-NCZ4N-0NNNN,CPA,11.0,2017
102374,CPA530Y-NDZ4N-0NNNN,CPA,35.0,2017
102620,CPA530Y-NAS7N-0NNNN/A1,CPA,1.0,2017
104994,CPA530Y-NCS7N-0NNNN/T07,CPA,2.0,2017
105317,CPA530Y-NDS4N-0NNNN/T08,CPA,2.0,2017
105557,F9913TA,TERMINAL COVER,21805.0,2018
105558,F9910LE,O-RING,23716.0,2018
105559,F9341JP,O-RING,23716.0,2018
105560,F9341JS,COVER,23816.0,2018
105561,F9900GZ,SCREW,80721.0,2018
105562,F9900RS,NAME PLATE,22435.0,2018
105563,F9900RE,TAG PLATE,23816.0,2018
105564,F9900RG,TAPPING SCREW,119050.0,2018
105565,F9900GC,SCREW,45906.0,2018
105566,F9900GH,O-RING,23716.0,2018
105567,F9300AF,PLATE,36943.0,2018
105568,F9900GD,PLATE,1561.0,2018
105569,F9900RJ,BOLT,23816.0,2018
105570,F9920BG,AMP ASSY,101.0,2018
105571,F9920TP,TERMINAL ASSY,9943.0,2018
105572,F9342NJ,CONNECTOR ASSY,23811.0,2018
105573,F9340SA,VENT PLUG,26.0,2018
105574,D0114PB,VENT SCREW,19951.0,2018
105575,F9200CS,PLUG,26.0,2018
105576,F9300TE,BRACKET ASSY,10869.0,2018
105577,D0117XL-A,U-BOLT,11417.0,2018
105578,F9273CZ,BOLT,45668.0,2018
105579,F9913QA,CASE,2.0,2018
105580,F9910LS,TERMINAL ASSY,23816.0,2018
105581,Y9308JY,SCREW,47632.0,2018
105582,A1462CC,FEEDTHRU CAP,64152.0,2018
105583,Y9501WL,WASHER,71448.0,2018
105584,G9303NC,O-RING,23716.0,2018
105585,F9270BJ,SHAFT,22953.0,2018
105586,Y9812PS,PIN,23816.0,2018
105587,F9270BK,COLLAR,23816.0,2018
105591,F9913TJ,BLIND COVER,479.0,2018
105592,G9330DB,PLUG RED,54208.0,2018
105593,CPA110Y-NFS0J-8NNNN,CPA,1.0,2018
105607,F9920BE,AMP ASSY,25.0,2018
105608,F9920TS,TERMINAL ASSY,9793.0,2018
105610,F9920LV,LCD ASSY,20041.0,2018
105611,F9342MK,NUT,46658.0,2018
105612,F9340SB,VENT PLUG,19925.0,2018
105614,D0114RZ,PLUG,21138.0,2018
105618,F9913QH,CASE,12390.0,2018
105623,F9341JW,WASHER,13800.0,2018
105628,F9341JZ,CLAMP ASSY,13687.0,2018
105631,F9913JA,METER COVER ASSY,21241.0,2018
105634,F9900RF,NAME PLATE,6563.0,2018
105636,F9900RP,BOLT,21578.0,2018
105637,CPA110Y-NFS5G-9NNNN,CPA,199.0,2018
105662,F9913QG,CASE,8736.0,2018
105677,CPA110Y-NFS5J-9NNNN,CPA,953.0,2018
105702,F9913QJ,CASE,677.0,2018
105729,F9900GE,PLATE,20911.0,2018
105736,F9900TA,FLANGE,16.0,2018
105738,F9900EA,GASCKET,24384.0,2018
105742,F9900AA,BOLT,20020.0,2018
105743,F9900BA,NUT,20020.0,2018
105759,CPA110Y-NHSNN-NNNNN,CPA,932.0,2018
105778,F9900TD,FLANGE,486.0,2018
105781,F9340SD,VENT PLUG,385.0,2018
105782,F9270HE,VENT SCREW,385.0,2018
105783,F9340XX,CONNECTOR,9154.0,2018
105784,F9900AS,BOLT,8766.0,2018
105785,D0114RB,GASKET,9562.0,2018
105788,F9340EM,BRACKET ASSY,548.0,2018
105805,F9913MY,PLUG,1043.0,2018
105829,F9900TB,FLANGE,18414.0,2018
105937,F9900AC,BOLT,25912.0,2018
105938,F9900BC,NUT,25912.0,2018
105999,CPA110Y-NLH5G-7NNNN/T12,CPA,2.0,2018
106041,CPA110Y-NMSNN-NNNNN,CPA,7642.0,2018
106058,F9920LU,LCD ASSY,3288.0,2018
106262,F9900AU,BOLT,10384.0,2018
106539,F9900TM,FLANGE,1363.0,2018
106580,F9921AD,AMP ASSY,2306.0,2018
106581,F9921TA,TERMINAL ASSY,306.0,2018
106597,F9342YB,FEEDTHROUGH CAP,6996.0,2018
106623,F9921TC,TERMINAL ASSY,1789.0,2018
106692,F9913VA,COVER,756.0,2018
106712,F9900SB,BRACKET ASSY,978.0,2018
106713,F9900SN,BRACKET ASSY,10211.0,2018
106714,F9900SH,BOLT,4400.0,2018
106715,F9913RU,CASE,75.0,2018
106727,F9913JS,METER COVER,750.0,2018
106834,F9921VA,LPT ASSY,24.0,2018
106849,F9900SD,BRACKET ASSY,118.0,2018
106868,CPA110Y-NHSNN-NNNNN/A1,CPA,26.0,2018
106869,F9913SA,COVER,827.0,2018
106875,F9900RR,TAPPING SCREW,4838.0,2018
106876,F9900RH,SCREW,1726.0,2018
106882,F9921VC,LPT ASSY,213.0,2018
106900,F9913WH,CASE,368.0,2018
106907,F9900RL,SHAFT,863.0,2018
106913,F9913JZ,METER COVER,812.0,2018
107089,CPA110Y-NHZ5G-9NNNN,CPA,13.0,2018
107383,CPA110Y-NMSNN-NNNNN/A1,CPA,127.0,2018
108108,F9913RV,CASE,640.0,2018
108619,CPA110Y-NVSNN-NNNNN,CPA,98.0,2018
108722,F9921AE,AMP ASSY,26.0,2018
108800,F9920BQ,AMP ASSY,9941.0,2018
108808,F9340XW,CONNECTOR,22.0,2018
108829,CPA110Y-NFS0G-9NNNN,CPA,4.0,2018
108870,CPA110Y-NFS5G-7NNNN,CPA,5.0,2018
108884,F9920BN,AMP ASSY,11412.0,2018
109204,F9920VS,LPT ASSY,1644.0,2018
109374,F9913CA,TERMINAL COVER,427.0,2018
109401,F9913AL,CASE,427.0,2018
109410,F9913MC,SCREW,315.0,2018
109412,F9913MA,SCREW,428.0,2018
109413,F9913GA,METER COVER ASSY,425.0,2018
109463,CPA110Y-NFS5G-UNNNN,CPA,1.0,2018
109503,CPA110Y-NFS5J-7NNNN,CPA,4.0,2018
109548,F9900GR,O-RING,100.0,2018
109549,F9900GS,O-RING,100.0,2018
109556,F9900GT,O-RING,100.0,2018
109577,F9913ME,FEED THROUGH CAP,300.0,2018
109579,F9900GV,O-RING,100.0,2018
109586,F9913KA,METER COVER ASSY,85.0,2018
109986,F9900GP,PLUG,95.0,2018
110026,F9913MD,CLAMP ASSY,113.0,2018
110034,F9913MB,BOLT,212.0,2018
110074,CPA110Y-NFS5C-7NNNN,CPA,1.0,2018
110372,F9913MZ,PLUG,189.0,2018
110395,F9275ED,VENT PLUG,1447.0,2018
110412,F9275ZZ,LABEL,1206.0,2018
110413,F9340ND,LABEL,1206.0,2018
110414,F9203ZA,PLUG,1447.0,2018
110418,F9275EF,NEEDLE ASSY,1447.0,2018
110419,F9275EG,NEEDLE ASSY,1447.0,2018
110420,Y9400ET,NEEDLE ASSY,1447.0,2018
110421,CPA110Y-NFS5G-BNNNN/K2,CPA,1.0,2018
110441,F9900SS,BRACKET ASSY,4.0,2018
110469,CPA110Y-NFS5G-BNNNN/K2/T12,CPA,3.0,2018
110556,CPA110Y-NFS5J-8NNNN,CPA,1.0,2018
110858,CPA110Y-NFS5J-9NNNN/K2,CPA,82.0,2018
111328,F9913WG,CASE,62.0,2018
111386,CPA110Y-NFS5J-BNNNN,CPA,1.0,2018
111405,F9340WX,CONNECTOR,194.0,2018
111428,CPA110Y-NHA5G-9NNNN,CPA,2.0,2018
111472,CPA110Y-NHA5J-9NNNN,CPA,10.0,2018
111654,F9340NJ,LABEL,44.0,2018
111659,CPA110Y-NHSNN-NNNNN/K3,CPA,127.0,2018
111708,C1016EZ,SOLID SUB-MATERIALS,41.0,2018
111831,F9920VP,LPT ASSY,99.0,2018
112700,F9900TH,FLANGE,312.0,2018
112710,F9900SE,BRACKET ASSY,109.0,2018
114526,F9913RW,CASE,40.0,2018
114539,F9913VJ,COVER,6.0,2018
114542,F9340XU,CONNECTOR(KIDNEY),89.0,2018
114543,F9340GN,O-RING,89.0,2018
114720,F9913WJ,CASE,397.0,2018
115072,F9900RM,TAG PLATE,38.0,2018
116144,CPA110Y-NLA5G-9NNNN,CPA,4.0,2018
116188,CPA110Y-NLA5J-9NNNN,CPA,8.0,2018
116248,F9340TX,CONNECTOR,42.0,2018
116273,CPA110Y-NLB5J-9NNNN,CPA,5.0,2018
116317,CPA110Y-NLD5G-9NNNN,CPA,8.0,2018
116481,CPA110Y-NLH5G-8NNNN,CPA,1.0,2018
116521,CPA110Y-NLH5G-9NNNN,CPA,1.0,2018
116561,CPA110Y-NLH5J-9NNNN,CPA,14.0,2018
116690,CPA110Y-NLH5G-7NNNN,CPA,1.0,2018
116812,CPA110Y-NLT5G-9NNNN,CPA,3.0,2018
116896,CPA110Y-NMA5G-9NNNN,CPA,33.0,2018
116976,CPA110Y-NMA5J-9NNNN,CPA,31.0,2018
117168,F9340TZ,CONNECTOR,16.0,2018
117189,CPA110Y-NMB5J-7NNNN,CPA,8.0,2018
117233,CPA110Y-NMB5G-9NNNN,CPA,3.0,2018
117313,CPA110Y-NMD5G-9NNNN,CPA,29.0,2018
117525,CPA110Y-NMD5J-9NNNN,CPA,5.0,2018
117681,CPA110Y-NMH5J-9NNNN,CPA,4.0,2018
117723,CPA110Y-NMM5G-9NNNN,CPA,4.0,2018
118070,CPA110Y-NMSNN-NNNNN/K3,CPA,344.0,2018
119874,F9913CJ,BLIND COVER,2.0,2018
119903,F9900UB,FLANGE,120.0,2018
123376,F9910LZ,LABEL,8.0,2018
124374,F9900GK,PLUG,42.0,2018
124376,F9900GB,O-RING,42.0,2018
125966,CPA110Y-NMSNN-NNNNN/K3/A1,CPA,6.0,2018
128421,CPA110Y-NMT5G-8NNNN,CPA,4.0,2018
128461,CPA110Y-NMT5G-9NNNN,CPA,14.0,2018
128545,CPA110Y-NMT5G-9NNNN/K3,CPA,3.0,2018
128668,CPA110Y-NMT5J-9NNNN,CPA,25.0,2018
128737,F9913RQ,CASE,1.0,2018
128750,F9900GQ,PLUG,1.0,2018
128752,CPA110Y-NMT5J-9NNNN/K3,CPA,1.0,2018
128905,CPA110Y-NMZ5G-9NNNN,CPA,19.0,2018
128946,CPA110Y-NVB5G-9NNNN,CPA,4.0,2018
129246,CPA110Y-NVSNN-NNNNN/A1,CPA,5.0,2018
129651,CPA110Y-NVSNN-NNNNN/K3,CPA,6.0,2018
130136,F9920BX,AMP ASSY,5.0,2018
130137,F9920VY,LPT ASSY,5.0,2018
130189,F9900TF,FLANGE,81.0,2018
130218,CPA430Y-NASNN-NNNNN,CPA,1046.0,2018
130287,F9900TE,FLANGE,2041.0,2018
130414,CPA430Y-NBSNN-NNNNN,CPA,414.0,2018
130607,CPA430Y-NASNN-NNNNN/A1,CPA,143.0,2018
130964,CPA430Y-NAT5J-9NNNN/K3,CPA,8.0,2018
131246,CPA430Y-NHSNN-NNNNN,CPA,184.0,2018
131477,CPA430Y-NAB5G-9NNNN,CPA,8.0,2018
131558,CPA430Y-NAB5J-9NNNN,CPA,2.0,2018
131600,CPA430Y-NAD5G-9NNNN,CPA,6.0,2018
131684,CPA430Y-NAD5J-9NNNN,CPA,4.0,2018
131772,CPA430Y-NAH5G-9NNNN,CPA,5.0,2018
131812,CPA430Y-NAH5J-9NNNN,CPA,4.0,2018
131856,CPA430Y-NAM5G-9NNNN,CPA,1.0,2018
132008,F9913DA,TERMINAL COVER,1.0,2018
132039,F9913BL,CASE,1.0,2018
132052,F9913GS,METER COVER ASSY,1.0,2018
132362,CPA430Y-NASNN-NNNNN/K3,CPA,171.0,2018
135174,F9900TY,FLANGE,22.0,2018
135359,F9340XZ,CONNECTOR,2.0,2018
135380,CPA430Y-NAT5G-7NNNN,CPA,2.0,2018
135420,CPA430Y-NAT5G-9NNNN,CPA,6.0,2018
135502,CPA430Y-NAT5J-9NNNN,CPA,3.0,2018
135590,CPA430Y-NBH5G-9NNNN,CPA,4.0,2018
136206,CPA430Y-NBSNN-NNNNN/K3,CPA,28.0,2018
136356,CPA430Y-NBSNN-NNNNN/A1,CPA,17.0,2018
137565,CPA430Y-NBT5J-9NNNN,CPA,1.0,2018
137609,CPA430Y-NHB5G-9NNNN,CPA,8.0,2018
137692,CPA430Y-NHD5J-9NNNN,CPA,2.0,2018
137736,CPA430Y-NHH5G-9NNNN,CPA,2.0,2018
138084,CPA430Y-NHSNN-NNNNN/K3,CPA,89.0,2018
138909,CPA430Y-NHSNN-NNNNN/A1,CPA,3.0,2018
139159,CPA430Y-NHT5J-9NNNN,CPA,4.0,2018
139191,F9940WF,PIPE ASSY,9428.0,2018
139192,F9900SF,BRACKET ASSY,9111.0,2018
139194,F9900SK,,9111.0,2018
139196,CPA530Y-NBS4N-0NNNN,CPA,3792.0,2018
139274,G9330CB,PLUG,2727.0,2018
139277,CPA530Y-NBS7N-0NNNN,CPA,1589.0,2018
139353,CPA530Y-NCS4N-0NNNN,CPA,1949.0,2018
139432,CPA530Y-NCS7N-0NNNN,CPA,358.0,2018
139481,F9940WG,HOOK,872.0,2018
139507,F9940WJ,SCREW,872.0,2018
139508,CPA530Y-NDS4N-0NNNN,CPA,492.0,2018
139584,CPA530Y-NDS7N-0NNNN,CPA,197.0,2018
139660,CPA530Y-NAH7N-0NNNN,CPA,19.0,2018
139699,CPA530Y-NAS7N-0NNNN,CPA,152.0,2018
139781,CPA530Y-NBH7N-0NNNN,CPA,23.0,2018
140621,CPA530Y-NCS7N-0NNNN/A1,CPA,4.0,2018
140744,CPA530Y-NCZ7N-0NNNN,CPA,5.0,2018
140826,CPA530Y-NDS4N-0NNNN/A1,CPA,55.0,2018
140908,CPA530Y-NDS7N-0NNNN/A1,CPA,9.0,2018
141067,CPA530Y-NAS4N-0NNNN,CPA,393.0,2018
141263,CPA530Y-NAS4N-0NNNN/K1,CPA,3.0,2018
141430,CPA530Y-NAS4N-0NNNN/K3,CPA,1.0,2018
141508,CPA530Y-NAS4N-0NNNN/T05,CPA,3.0,2018
142175,CPA530Y-NAS7N-0NNNN/K2,CPA,46.0,2018
142418,CPA530Y-NAS7N-0NNNN/T05,CPA,10.0,2018
142527,F9913KS,METER COVER ASSY,16.0,2018
142581,CPA530Y-NAS7N-0NNNN/K2/T05,CPA,1.0,2018
142825,CPA530Y-NAS8N-0NNNN,CPA,1.0,2018
142863,CPA530Y-NASWN-0NNNN,CPA,2.0,2018
142902,CPA530Y-NBH4N-0NNNN,CPA,51.0,2018
143029,CPA530Y-NBH4N-0NNNN/K2,CPA,2.0,2018
143434,CPA530Y-NBS4N-0NNNN/A1,CPA,9.0,2018
143902,CPA530Y-NBS4N-0NNNN/K1,CPA,14.0,2018
143941,CPA530Y-NBS4N-0NNNN/K3,CPA,27.0,2018
144320,CPA530Y-NBS4N-0NNNN/K2,CPA,14.0,2018
144364,CPA530Y-NBS4N-0NNNN/K2/A1,CPA,1.0,2018
144490,CPA530Y-NBS4N-0NNNN/T06,CPA,26.0,2018
146533,CPA530Y-NBS7N-0NNNN/K2,CPA,131.0,2018
146913,CPA530Y-NBS7N-0NNNN/K1/T06,CPA,19.0,2018
146999,CPA530Y-NBS7N-0NNNN/T06,CPA,19.0,2018
147481,CPA530Y-NBS7N-0NNNN/K2/T06,CPA,15.0,2018
148252,CPA530Y-NBS8N-0NNNN,CPA,5.0,2018
148332,CPA530Y-NBSWN-0NNNN,CPA,12.0,2018
148444,CPA530Y-NCH4N-0NNNN,CPA,3.0,2018
148485,CPA530Y-NCH7N-0NNNN,CPA,1.0,2018
148727,CPA530Y-NCS4N-0NNNN/A1,CPA,32.0,2018
148957,CPA530Y-NCS4N-0NNNN/K2,CPA,11.0,2018
149610,CPA530Y-NCS4N-0NNNN/K3,CPA,8.0,2018
149862,CPA530Y-NCS4N-0NNNN/T07,CPA,264.0,2018
151131,CPA530Y-NCS7N-0NNNN/K2,CPA,77.0,2018
151219,CPA530Y-NCS7N-0NNNN/K2/A1,CPA,4.0,2018
151615,CPA530Y-NCS7N-0NNNN/K2/T07,CPA,3.0,2018
151972,CPA530Y-NCS7N-0NNNN/T07,CPA,2.0,2018
152051,CPA530Y-NCS8N-0NNNN/T07,CPA,23.0,2018
152773,CPA530Y-NDS4N-0NNNN/HG,CPA,2.0,2018
153165,CPA530Y-NDS4N-0NNNN/T08,CPA,86.0,2018
153581,CPA530Y-NDS7N-0NNNN/K2/A1,CPA,2.0,2018
153697,CPA530Y-NDS7N-0NNNN/K2,CPA,4.0,2018
153934,CPA530Y-NDS8N-0NNNN,CPA,1.0,2018
153971,CPA530Y-NZS4N-0NNNN,CPA,287.0,2018
154082,CPA530Y-NZS4N-0NNNN/K3,CPA,29.0,2018
154122,CPA530Y-NZS4N-0NNNN/A1,CPA,73.0,2018
154511,F9350EW,FLANGE,105.0,2018
154514,F9350ER,VENT PLUG,105.0,2018
154515,F9350KZ,VENT SCREW,105.0,2018
154516,F9350RS,PLUG,105.0,2018
154517,F9350GY,CONNECTOR,85.0,2018
154542,CPA110Y-NHLNN-NNNNN,CPA,12.0,2018
154591,CPA110Y-NHLNN-NNNNN/A1,CPA,7.0,2018
154977,CPA110Y-NMLNN-NNNNN,CPA,6.0,2018
155812,CPA110Y-NFS5J-9NNNN/T12,CPA,1.0,2018
156625,CPA110Y-NHZ5J-9NNNN,CPA,6.0,2018
156710,CPA110Y-NMH5G-9NNNN,CPA,2.0,2018
157948,F9913KZ,METER COVER ASSY,15.0,2018
158405,CPA110Y-NMZ5J-9NNNN,CPA,5.0,2018
158650,CPA430Y-NALNN-NNNNN/A1,CPA,40.0,2018
158885,CPA430Y-NAZ5J-9NNNN,CPA,7.0,2018
158934,CPA430Y-NBLNN-NNNNN/A1,CPA,15.0,2018
159218,CPA430Y-NHZ5J-9NNNN,CPA,32.0,2018
160504,CPA430Y-NBZ5J-9NNNN,CPA,1.0,2018
160627,F9900UK,FLANGE,6.0,2018
161121,CPA530Y-NBZ4N-0NNNN,CPA,13.0,2018
161323,CPA530Y-NCZ4N-0NNNN,CPA,291.0,2018
161405,CPA530Y-NDZ4N-0NNNN,CPA,17.0,2018
163802,CPA530Y-NDZ7N-0NNNN,CPA,7.0,2018
